City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
0,Muros,ES,42.7762,-9.0603,41.0,82,96,overcast clouds
1,Hasaki,JP,35.7333,140.8333,66.0,29,75,broken clouds
2,Hilo,US,19.7297,-155.09,73.4,73,90,overcast clouds
3,Hirara,JP,24.8,125.2833,71.6,53,40,scattered clouds
4,Olenegorsk,RU,68.15,33.3,36.1,89,81,broken clouds
5,Yulara,AU,-25.2406,130.9889,75.2,20,0,clear sky
6,Banda Aceh,ID,5.5577,95.3222,85.75,67,43,scattered clouds
7,Samarai,PG,-10.6167,150.6667,83.98,74,72,broken clouds
8,Ushuaia,AR,-54.8,-68.3,51.8,54,40,scattered clouds
9,Bluff,NZ,-46.6,168.3333,55.0,71,87,overcast clouds
10,Teshie,GH,5.5836,-0.1072,78.8,78,0,clear sky
11,Boende,CD,-0.2167,20.8667,73.63,92,100,overcast clouds
12,Cape Town,ZA,-33.9258,18.4232,73.99,48,0,clear sky
13,Riyadh,SA,24.6877,46.7219,82.4,13,0,clear sky
14,Hakkari,TR,37.5833,44.1667,50.0,66,75,broken clouds
15,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,86,90,overcast clouds
16,Palmer,US,42.1584,-72.3287,37.99,100,1,clear sky
17,Codrington,AU,-38.2667,141.9667,63.18,63,76,broken clouds
18,Bereda,ES,43.2686,-7.5406,37.99,100,45,scattered clouds
19,Nikolskoye,RU,59.7035,30.7861,48.99,40,0,clear sky
20,Port Elizabeth,ZA,-33.918,25.5701,62.6,67,0,clear sky
21,Saskylakh,RU,71.9167,114.0833,12.74,88,100,overcast clouds
22,Busselton,AU,-33.65,115.3333,77.0,42,0,clear sky
23,Arica,CL,-18.475,-70.3042,68.0,68,90,overcast clouds
24,Clovis,US,36.8252,-119.7029,68.0,32,40,scattered clouds
25,Longyearbyen,SJ,78.2186,15.6401,37.4,70,75,light snow
26,Aklavik,CA,68.2191,-135.0107,37.4,52,85,overcast clouds
27,Butaritari,KI,3.0707,172.7902,81.75,78,99,moderate rain
28,Albany,US,42.6001,-73.9662,42.01,81,95,overcast clouds
29,Rikitea,PF,-23.1203,-134.9692,77.11,70,26,scattered clouds
30,Vestmannaeyjar,IS,63.4427,-20.2734,40.01,57,100,overcast clouds
31,Abapo,BO,-18.8333,-63.4667,64.87,96,96,overcast clouds
32,Noumea,NC,-22.2763,166.4572,82.4,61,40,scattered clouds
33,Teguise,ES,29.0605,-13.564,62.6,72,20,few clouds
34,Saint-Philippe,RE,-21.3585,55.7679,82.4,73,90,overcast clouds
35,Severo-Kurilsk,RU,50.6789,156.125,36.18,66,100,overcast clouds
36,Castro,BR,-24.7911,-50.0119,54.88,97,4,clear sky
37,Lalpur,IN,22.2,69.9667,93.2,43,29,scattered clouds
38,Mandalgovi,MN,45.7625,106.2708,61.09,11,8,clear sky
39,Inuvik,CA,68.3499,-133.7218,37.4,52,100,overcast clouds
40,Nemuro,JP,43.3236,145.575,42.8,100,75,mist
41,Saint-Joseph,RE,-21.3667,55.6167,78.8,73,90,overcast clouds
42,Bengkulu,ID,-3.8004,102.2655,83.91,65,92,overcast clouds
43,Vardo,NO,70.3705,31.1107,35.24,88,60,broken clouds
44,Bonavista,CA,48.6499,-53.1147,35.01,93,100,overcast clouds
45,Lebu,CL,-37.6167,-73.65,54.9,88,99,overcast clouds
46,Mwinilunga,ZM,-11.7358,24.4293,61.3,76,82,broken clouds
47,Florida,US,28.7505,-82.5001,68.0,94,75,broken clouds
48,Dauphin,CA,51.1494,-100.0502,39.2,70,90,moderate rain
49,Vaini,TO,-21.2,-175.2,73.4,78,20,few clouds
50,Nhulunbuy,AU,-12.2333,136.7667,86.0,58,75,broken clouds
51,San Patricio,US,28.017,-97.5169,57.99,62,75,broken clouds
52,Novobiryusinskiy,RU,56.9578,97.7076,32.79,54,92,overcast clouds
53,Shasta Lake,US,40.6804,-122.3708,60.8,41,1,clear sky
54,Thompson,CA,55.7435,-97.8558,24.8,68,90,light snow
55,Juruti,BR,-2.1522,-56.0922,72.82,96,94,moderate rain
56,Gobabis,NA,-22.45,18.9667,60.03,69,10,clear sky
57,Sumbawanga,TZ,-7.9667,31.6167,62.6,82,75,broken clouds
58,Port-Cartier,CA,50.0334,-66.8654,30.0,80,20,few clouds
59,Isla Vista,US,34.4133,-119.861,63.0,82,1,clear sky
60,Turukhansk,RU,65.8167,87.9833,14.67,77,93,overcast clouds
61,Arraial Do Cabo,BR,-22.9661,-42.0278,75.34,81,99,overcast clouds
62,Mataura,NZ,-46.1927,168.8643,55.0,71,51,broken clouds
63,Husavik,IS,66.0449,-17.3389,39.2,65,90,overcast clouds
64,Port Alfred,ZA,-33.5906,26.891,71.42,26,6,clear sky
65,Alofi,NU,-19.0595,-169.9187,73.4,94,3,clear sky
66,Porto Novo,BJ,6.4965,2.6036,80.6,89,40,scattered clouds
67,Liverpool,GB,53.4106,-2.9779,42.01,69,100,overcast clouds
68,Gbarnga,LR,6.9956,-9.4722,71.65,90,100,overcast clouds
69,San Carlos,VE,9.6612,-68.5827,78.73,70,86,overcast clouds
70,Zhuhai,CN,22.2769,113.5678,82.0,78,40,scattered clouds
71,Bambous Virieux,MU,-20.3428,57.7575,84.99,89,75,light rain
72,Ixtapa,MX,20.7,-105.2,65.39,66,0,clear sky
73,Mar Del Plata,AR,-38.0023,-57.5575,66.0,100,90,mist
74,Saldanha,ZA,-33.0117,17.9442,64.4,34,0,clear sky
75,Kargasok,RU,59.0556,80.8572,24.35,43,97,overcast clouds
76,Cabo San Lucas,MX,22.8909,-109.9124,70.0,51,2,clear sky
77,Barrow,US,71.2906,-156.7887,28.4,74,1,clear sky
78,Epe,NG,6.5841,3.9834,79.27,90,97,overcast clouds
79,Bethel,US,41.3712,-73.414,44.6,76,90,overcast clouds
80,Avarua,CK,-21.2078,-159.775,77.0,88,61,broken clouds
81,Kapaa,US,22.0752,-159.319,71.6,64,90,overcast clouds
82,Carnarvon,AU,-24.8667,113.6333,82.29,44,13,few clouds
83,Tura,IN,25.5198,90.2201,89.76,35,3,clear sky
84,Kyra,RU,49.5776,111.9753,48.74,35,25,scattered clouds
85,Simbahan,PH,6.3032,120.5836,82.53,79,93,overcast clouds
86,Kalmunai,LK,7.4167,81.8167,87.12,61,99,overcast clouds
87,Kaitangata,NZ,-46.2817,169.8464,57.0,65,65,broken clouds
88,Yumen,CN,40.2833,97.2,63.95,7,100,overcast clouds
89,Ust-Ordynskiy,RU,52.805,104.7508,39.2,33,0,clear sky
90,Clyde River,CA,70.4692,-68.5914,5.0,85,90,light snow
91,Esmeraldas,BR,-19.7625,-44.3139,64.4,77,0,clear sky
92,Yerbogachen,RU,61.2767,108.0108,21.54,57,81,broken clouds
93,Tangier,MA,35.7806,-5.8137,55.4,71,40,scattered clouds
94,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,80,40,scattered clouds
95,Karangasem,ID,-8.45,115.6167,87.8,70,20,few clouds
96,Saint-Leu,RE,-21.15,55.2833,82.4,73,90,overcast clouds
97,Batagay,RU,67.6333,134.6333,22.66,88,100,light snow
98,Tuatapere,NZ,-46.1333,167.6833,55.0,71,91,overcast clouds
99,Upernavik,GL,72.7868,-56.1549,6.15,90,100,overcast clouds
100,Buchanan,LR,5.8808,-10.0467,75.2,94,40,scattered clouds
101,Ahipara,NZ,-35.1667,173.1667,58.26,68,100,overcast clouds
102,Hermanus,ZA,-34.4187,19.2345,73.99,26,0,clear sky
103,Puerto Ayora,EC,-0.7393,-90.3518,75.0,100,80,broken clouds
104,Isla Del Bosque,MX,22.7333,-105.85,64.4,94,1,clear sky
105,Yellowknife,CA,62.456,-114.3525,28.0,86,40,scattered clouds
106,Victoria,HK,22.2855,114.1577,77.0,73,63,broken clouds
107,Dikson,RU,73.5069,80.5464,3.31,90,72,broken clouds
108,Torbay,CA,47.6666,-52.7314,35.01,100,90,light rain
109,Airai,TL,-8.9266,125.4092,68.18,72,87,overcast clouds
110,Ilulissat,GL,69.2167,-51.1,6.8,51,75,broken clouds
