City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hilo,US,73.4,overcast clouds,19.7297,-155.09,
3,Hirara,JP,71.6,scattered clouds,24.8,125.2833,
5,Yulara,AU,75.2,clear sky,-25.2406,130.9889,
6,Banda Aceh,ID,85.75,scattered clouds,5.5577,95.3222,
7,Samarai,PG,83.98,broken clouds,-10.6167,150.6667,
10,Teshie,GH,78.8,clear sky,5.5836,-0.1072,
11,Boende,CD,73.63,overcast clouds,-0.2167,20.8667,
12,Cape Town,ZA,73.99,clear sky,-33.9258,18.4232,
13,Riyadh,SA,82.4,clear sky,24.6877,46.7219,
22,Busselton,AU,77.0,clear sky,-33.65,115.3333,
27,Butaritari,KI,81.75,moderate rain,3.0707,172.7902,
29,Rikitea,PF,77.11,scattered clouds,-23.1203,-134.9692,
32,Noumea,NC,82.4,scattered clouds,-22.2763,166.4572,
34,Saint-Philippe,RE,82.4,overcast clouds,-21.3585,55.7679,
41,Saint-Joseph,RE,78.8,overcast clouds,-21.3667,55.6167,
42,Bengkulu,ID,83.91,overcast clouds,-3.8004,102.2655,
49,Vaini,TO,73.4,few clouds,-21.2,-175.2,
50,Nhulunbuy,AU,86.0,broken clouds,-12.2333,136.7667,
55,Juruti,BR,72.82,moderate rain,-2.1522,-56.0922,
61,Arraial Do Cabo,BR,75.34,overcast clouds,-22.9661,-42.0278,
64,Port Alfred,ZA,71.42,clear sky,-33.5906,26.891,
65,Alofi,NU,73.4,clear sky,-19.0595,-169.9187,
66,Porto Novo,BJ,80.6,scattered clouds,6.4965,2.6036,
68,Gbarnga,LR,71.65,overcast clouds,6.9956,-9.4722,
69,San Carlos,VE,78.73,overcast clouds,9.6612,-68.5827,
70,Zhuhai,CN,82.0,scattered clouds,22.2769,113.5678,
71,Bambous Virieux,MU,84.99,light rain,-20.3428,57.7575,
76,Cabo San Lucas,MX,70.0,clear sky,22.8909,-109.9124,
78,Epe,NG,79.27,overcast clouds,6.5841,3.9834,
80,Avarua,CK,77.0,broken clouds,-21.2078,-159.775,
81,Kapaa,US,71.6,overcast clouds,22.0752,-159.319,
82,Carnarvon,AU,82.29,few clouds,-24.8667,113.6333,
83,Tura,IN,89.76,clear sky,25.5198,90.2201,
85,Simbahan,PH,82.53,overcast clouds,6.3032,120.5836,
86,Kalmunai,LK,87.12,overcast clouds,7.4167,81.8167,
95,Karangasem,ID,87.8,few clouds,-8.45,115.6167,
96,Saint-Leu,RE,82.4,overcast clouds,-21.15,55.2833,
100,Buchanan,LR,75.2,scattered clouds,5.8808,-10.0467,
102,Hermanus,ZA,73.99,clear sky,-34.4187,19.2345,
103,Puerto Ayora,EC,75.0,broken clouds,-0.7393,-90.3518,
106,Victoria,HK,77.0,broken clouds,22.2855,114.1577,
113,Ambilobe,MG,81.86,broken clouds,-13.2,49.05,
116,Dzaoudzi,YT,80.6,moderate rain,-12.7887,45.2699,
118,Mangrol,IN,88.97,clear sky,21.1167,70.1167,
127,Atuona,PF,80.47,scattered clouds,-9.8,-139.0333,
128,Geraldton,AU,84.2,clear sky,-28.7667,114.6,
130,Bata,GQ,77.0,light rain,1.8639,9.7658,
131,Birin,NP,86.0,few clouds,26.8865,88.0718,
132,Touros,BR,75.2,light rain,-5.1989,-35.4608,
135,Alugan,PH,76.69,moderate rain,12.2188,125.4808,
142,Yarada,IN,87.84,clear sky,17.65,83.2667,
146,Esperance,AU,75.2,clear sky,-33.8667,121.9,
150,Caravelas,BR,71.51,few clouds,-17.7125,-39.2481,
154,Conchagua,SV,82.4,few clouds,13.3078,-87.8647,
158,Dhidhdhoo,MV,84.29,broken clouds,6.8833,73.1,
166,Emerald,AU,84.2,clear sky,-23.5333,148.1667,
169,Weinan,CN,75.2,clear sky,34.5036,109.5089,
170,Hambantota,LK,87.8,scattered clouds,6.1241,81.1185,
171,Pemangkat,ID,77.29,overcast clouds,1.1667,108.9667,
173,Cururupu,BR,73.78,overcast clouds,-1.8283,-44.8683,
176,Agadez,NE,81.57,overcast clouds,19.75,10.25,
177,Along,IN,72.82,overcast clouds,28.1667,94.7667,
180,Wencheng,CN,70.39,overcast clouds,33.0559,113.7978,
181,Gushi,CN,76.19,scattered clouds,34.6425,109.5843,
183,Acari,PE,70.97,few clouds,-15.4311,-74.6158,
184,Makakilo City,US,73.4,clear sky,21.3469,-158.0858,
187,Waddan,LY,74.12,overcast clouds,29.1614,16.139,
191,Aswan,EG,85.5,clear sky,24.0934,32.907,
192,Angoche,MZ,76.82,overcast clouds,-16.2325,39.9086,
193,Canutama,BR,72.37,light rain,-6.5339,-64.3831,
198,Okitipupa,NG,77.27,overcast clouds,6.5047,4.7839,
202,Mahebourg,MU,78.8,light rain,-20.4081,57.7,
203,Faanui,PF,82.35,scattered clouds,-16.4833,-151.75,
209,Inongo,CD,72.88,light rain,-1.95,18.2667,
211,Sao Gabriel Da Cachoeira,BR,72.14,overcast clouds,-0.1303,-67.0892,
212,Turayf,SA,77.0,broken clouds,31.6725,38.6637,
213,Ewa Beach,US,73.4,clear sky,21.3156,-158.0072,
218,Port-Gentil,GA,78.8,light rain,-0.7193,8.7815,
221,Kahului,US,73.4,scattered clouds,20.8947,-156.47,
222,Xichang,CN,75.87,broken clouds,27.8964,102.2634,
227,Hithadhoo,MV,82.47,broken clouds,-0.6,73.0833,
230,Davila,PH,89.6,broken clouds,18.4726,120.5763,
232,Kavieng,PG,83.84,broken clouds,-2.5744,150.7967,
236,Padang,ID,86.0,few clouds,-0.9492,100.3543,
237,Mount Isa,AU,86.0,clear sky,-20.7333,139.5,
239,Taganak,PH,87.8,few clouds,6.0833,118.3,
241,Meulaboh,ID,85.93,broken clouds,4.1363,96.1285,
242,Roebourne,AU,87.98,clear sky,-20.7833,117.1333,
246,Torit,SS,80.55,overcast clouds,4.4133,32.5678,
252,Aksu,CN,71.08,broken clouds,41.1231,80.2644,
255,Tautira,PF,80.6,few clouds,-17.7333,-149.15,
257,Umm Lajj,SA,83.14,clear sky,25.0213,37.2685,
259,Ranau,MY,89.01,few clouds,5.9538,116.6641,
260,Conceicao Do Araguaia,BR,73.4,clear sky,-8.2578,-49.2647,
262,Yilan,TW,71.01,overcast clouds,24.756999999999998,121.75299999999999,
263,Antalaha,MG,81.3,scattered clouds,-14.9003,50.2788,
275,Cizre,TR,76.89,broken clouds,37.3272,42.1903,
279,Axim,GH,79.95,overcast clouds,4.8699,-2.2405,
280,Cacoal,BR,70.74,overcast clouds,-11.4386,-61.4472,
281,Kisangani,CD,72.91,overcast clouds,0.5167,25.2,
292,Honiara,SB,82.26,overcast clouds,-9.4333,159.95,
293,Aquiraz,BR,77.0,scattered clouds,-3.9014,-38.3911,
294,Kieta,PG,83.44,moderate rain,-6.2167,155.6333,
295,Suluq,LY,71.56,overcast clouds,31.6682,20.2521,
296,Tanout,NE,81.12,broken clouds,14.9709,8.8879,
297,Chulucanas,PE,73.47,overcast clouds,-5.0925,-80.1625,
299,Korla,CN,73.09,overcast clouds,41.7597,86.1469,
300,Carutapera,BR,75.6,overcast clouds,-1.195,-46.02,
303,Cabedelo,BR,73.4,light rain,-6.9811,-34.8339,
304,Cockburn Town,TC,77.94,clear sky,21.4612,-71.1419,
305,Cravo Norte,CO,78.19,overcast clouds,6.3017,-70.2041,
306,Kalianget,ID,84.47,overcast clouds,-7.05,113.9333,
308,Nishihara,JP,71.6,scattered clouds,26.1842,127.7558,
311,Tecoanapa,MX,76.44,clear sky,16.5167,-98.75,
313,Bosaso,SO,86.0,clear sky,11.2842,49.1816,
317,Carauari,BR,71.82,overcast clouds,-4.8828,-66.8958,
318,Grand Gaube,MU,84.99,broken clouds,-20.0064,57.6608,
319,Marawi,PH,84.0,overcast clouds,7.9986,124.2928,
324,Ravar,IR,72.05,overcast clouds,31.2656,56.8055,
325,Baherden,TM,77.59,clear sky,38.4362,57.4316,
326,Sao Joao Da Barra,BR,74.48,overcast clouds,-21.6403,-41.0511,
331,Tabatinga,BR,77.0,scattered clouds,-4.2525,-69.9381,
334,Port Blair,IN,87.01,few clouds,11.6667,92.75,
335,Pangkalanbuun,ID,87.89,moderate rain,-2.6833,111.6167,
337,Maceio,BR,73.4,mist,-9.6658,-35.7353,
340,Salalah,OM,86.0,few clouds,17.0151,54.0924,
341,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,
345,Lorengau,PG,84.29,broken clouds,-2.0226,147.2712,
352,Bowen,AU,77.0,overcast clouds,-20.0167,148.2333,
353,Biak,ID,82.15,broken clouds,-0.9131,122.8766,
355,Souillac,MU,78.8,light rain,-20.5167,57.5167,
362,Kapoeta,SS,85.24,overcast clouds,4.7717,33.5903,
369,Katherine,AU,89.6,broken clouds,-14.4667,132.2667,
371,Harper,LR,77.86,overcast clouds,4.375,-7.7169,
372,Sur,OM,89.19,overcast clouds,22.5667,59.5289,
374,Darab,IR,76.75,overcast clouds,28.7519,54.5444,
378,Point Pedro,LK,87.96,broken clouds,9.8167,80.2333,
379,Rock Sound,BS,76.98,clear sky,24.9,-76.2,
381,Najran,SA,77.0,clear sky,17.4924,44.1277,
385,Bireun,ID,85.86,broken clouds,5.202999999999999,96.7009,
386,Kudahuvadhoo,MV,83.25,broken clouds,2.6708,72.8944,
391,Soyo,AO,78.8,scattered clouds,-6.1349,12.3689,
393,Bandarbeyla,SO,83.82,few clouds,9.4942,50.8122,
394,Upata,VE,75.99,overcast clouds,8.0086,-62.3989,
397,Kikwit,CD,73.0,broken clouds,-5.041,18.8162,
405,Borba,BR,72.61,overcast clouds,-4.3878,-59.5939,
407,Playa Vicente,MX,77.74,scattered clouds,17.8333,-95.8167,
408,Monrovia,LR,75.2,scattered clouds,6.3005,-10.7969,
412,San Borja,BO,71.1,few clouds,-14.8167,-66.85,
414,Poum,NC,79.75,few clouds,-20.2333,164.0167,
423,Itarema,BR,75.67,scattered clouds,-2.9248,-39.9167,
426,Odweyne,SO,77.18,few clouds,9.4092,45.06399999999999,
427,Mumford,GH,79.66,overcast clouds,5.2618,-0.759,
428,Taoudenni,ML,74.37,clear sky,22.6783,-3.9836,
430,Sinnamary,GF,77.27,overcast clouds,5.3833,-52.95,
436,Dingle,PH,88.29,overcast clouds,10.9995,122.6711,
437,Georgetown,MY,89.6,heavy intensity rain,5.4112,100.3354,
440,Pocone,BR,71.08,clear sky,-16.2567,-56.6228,
441,Neiafu,TO,78.8,few clouds,-18.65,-173.9833,
443,Vao,NC,75.15,broken clouds,-22.6667,167.4833,
447,Vanimo,PG,81.27,overcast clouds,-2.6741,141.3028,
449,Tiarei,PF,80.6,few clouds,-17.5333,-149.3333,
450,Nam Som,TH,89.01,moderate rain,17.7704,102.1895,
452,San Juan,AR,71.58,few clouds,-31.5375,-68.5364,
453,Quatre Cocos,MU,84.99,broken clouds,-20.2078,57.7625,
459,Waingapu,ID,86.07,overcast clouds,-9.6567,120.2641,
462,Senador Jose Porfirio,BR,73.42,broken clouds,-2.5908,-51.9542,
463,Birao,CF,82.2,broken clouds,10.2849,22.7882,
466,Cayenne,GF,81.0,broken clouds,4.9333,-52.3333,
474,Acapulco,MX,76.24,clear sky,16.8634,-99.8901,
475,Minab,IR,82.4,scattered clouds,27.1467,57.0801,
480,Sri Aman,MY,77.0,light rain,1.2376,111.4621,
486,Abu Zabad,SD,84.74,clear sky,12.35,29.25,
489,Basco,PH,75.61,overcast clouds,20.4487,121.9702,
493,Matay,EG,86.41,clear sky,28.419,30.7792,
495,Eyl,SO,85.71,broken clouds,7.9803,49.8164,
496,Shafter,US,71.6,clear sky,35.5005,-119.2718,
497,Buala,SB,83.86,light rain,-8.145,159.5921,
500,Bonfim,BR,76.28,overcast clouds,3.0833,-59.95,
501,Puerto Escondido,MX,77.65,clear sky,15.85,-97.0667,
502,Maridi,SS,74.19,overcast clouds,4.9158,29.4742,
509,Gushikawa,JP,71.6,clear sky,26.3544,127.8686,
511,Atambua,ID,82.26,overcast clouds,-9.1061,124.8925,
514,Mogadishu,SO,86.0,broken clouds,2.0371,45.3438,
519,Mayumba,GA,78.55,overcast clouds,-3.432,10.6554,
528,Jiblah,YE,71.06,clear sky,13.9216,44.1467,
530,Teknaf,BD,88.23,clear sky,20.8624,92.3058,
531,Kandrian,PG,82.17,broken clouds,-6.2167,149.55,
536,Chicomuselo,MX,76.89,broken clouds,15.7667,-92.2667,
538,Ugoofaaru,MV,83.89,broken clouds,5.6667,73.0,
541,Hami,CN,73.85,overcast clouds,42.8,93.45,
543,Nurota,UZ,73.4,broken clouds,40.5614,65.6886,
544,El Tigre,VE,74.82,broken clouds,8.8875,-64.2454,
545,Oranjestad,AW,79.0,few clouds,12.524000000000001,-70.027,
546,Ginda,IN,70.95,clear sky,30.6945,78.4932,
550,Qui Nhon,VN,82.65,broken clouds,13.7667,109.2333,
551,Bubaque,GW,76.03,broken clouds,11.2833,-15.8333,
552,Rio Branco,BR,75.2,scattered clouds,-9.9747,-67.81,
555,Tessalit,ML,80.56,overcast clouds,20.1986,1.0114,
556,Villa Guerrero,MX,75.99,clear sky,18.8667,-99.65,
558,Kabalo,CD,73.51,few clouds,-6.05,26.9167,
560,Tual,ID,80.46,overcast clouds,-5.6667,132.75,
563,Phan Thiet,VN,86.79,broken clouds,10.9333,108.1,
564,Olinda,BR,71.6,scattered clouds,-8.0089,-34.8553,
569,Itaituba,BR,72.64,heavy intensity rain,-4.2761,-55.9836,
570,Banjar,ID,87.8,few clouds,-8.19,114.9675,
574,Tamandare,BR,75.61,overcast clouds,-8.7597,-35.1047,
575,Awbari,LY,79.38,overcast clouds,26.5921,12.7805,
576,Maragogi,BR,75.07,overcast clouds,-9.0122,-35.2225,
577,Baoding,CN,77.86,clear sky,38.8511,115.4903,
584,Itoman,JP,71.01,few clouds,26.1247,127.6694,
588,Pochutla,MX,75.0,clear sky,15.7432,-96.4661,
589,San Andres,CO,82.4,scattered clouds,12.5847,-81.7006,
591,Payakumbuh,ID,86.29,overcast clouds,-0.2202,100.6308,
595,Kirakira,SB,82.58,overcast clouds,-10.4544,161.9205,
605,Acarau,BR,76.21,scattered clouds,-2.8856,-40.12,
610,Bako,ET,72.19,overcast clouds,5.7833,36.5667,
616,Merauke,ID,78.08,light rain,-8.4667,140.3333,
618,Taitung,TW,75.2,broken clouds,22.7583,121.1444,
620,Libertador General San Martin,AR,71.01,broken clouds,-23.8064,-64.7876,
623,Pangai,TO,78.8,broken clouds,-19.8,-174.35,
627,Paka,MY,89.6,few clouds,4.6374,103.4368,
628,Belawan,ID,89.6,scattered clouds,3.7755,98.6832,
629,Mundo Nuevo,MX,77.45,scattered clouds,18.7,-95.5,
633,Villa Carlos Paz,AR,70.0,few clouds,-31.4241,-64.4978,
637,Guaruja,BR,70.0,moderate rain,-23.9931,-46.2564,
642,Qiongshan,CN,82.4,broken clouds,20.0058,110.3542,
643,Gat,IL,87.01,clear sky,31.61,34.7642,
645,Alvaraes,BR,72.5,moderate rain,-3.2208,-64.8042,
646,Sao Filipe,CV,71.44,clear sky,14.8961,-24.4956,
647,Tete,MZ,71.6,broken clouds,-16.1564,33.5867,
649,Bafoulabe,ML,85.84,broken clouds,13.8065,-10.8321,
651,Kathmandu,NP,77.0,few clouds,27.7167,85.3167,
652,Panguna,PG,75.85,moderate rain,-6.3164,155.4848,
653,Nongstoin,IN,73.15,clear sky,25.5167,91.2667,
654,Les Cayes,HT,76.55,few clouds,18.2,-73.75,
661,Kyaikkami,MM,84.38,overcast clouds,16.08,97.5675,
662,Buluang,PH,76.19,heavy intensity rain,13.3068,123.3425,
664,Lethem,GY,75.06,broken clouds,3.3803,-59.7968,
669,Trinidad,BO,72.64,broken clouds,-14.8333,-64.9,
673,Niquelandia,BR,70.95,overcast clouds,-14.4739,-48.4597,
675,Buraydah,SA,78.8,clear sky,26.326,43.975,
676,Isangel,VU,80.6,overcast clouds,-19.55,169.2667,
677,Namibe,AO,81.72,clear sky,-15.1961,12.1522,
679,Cap Malheureux,MU,84.99,broken clouds,-19.9842,57.6142,
681,Puerto Madero,MX,81.3,broken clouds,14.7208,-92.4215,
