City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,La Paz,BO,2021-05-07 04:13:41,-16.5,-68.15,37.4,93,75,2.3
1,Vila Franca Do Campo,PT,2021-05-07 04:15:08,37.7167,-25.4333,62.6,94,75,10.36
2,Iqaluit,CA,2021-05-07 04:15:09,63.7506,-68.5145,30.2,93,90,8.05
3,Yar-Sale,RU,2021-05-07 04:15:09,66.8333,70.8333,31.62,97,100,19.42
4,Deputatskiy,RU,2021-05-07 04:15:09,69.3,139.9,27.7,91,100,4.65
5,Punta Arenas,CL,2021-05-07 04:15:10,-53.15,-70.9167,42.8,87,75,5.75
6,Ushuaia,AR,2021-05-07 04:11:29,-54.8,-68.3,41.0,75,0,4.61
7,Albany,US,2021-05-07 04:11:46,42.6001,-73.9662,48.0,75,100,4.92
8,Prince Rupert,CA,2021-05-07 04:15:05,54.3161,-130.3201,48.2,76,90,14.97
9,Parabel,RU,2021-05-07 04:15:11,58.6978,81.4825,53.96,49,7,13.02
10,Rikitea,PF,2021-05-07 04:15:11,-23.1203,-134.9692,78.24,78,100,12.68
11,Sudbury,CA,2021-05-07 04:15:11,46.49,-80.99,37.4,93,40,9.22
12,Cape Town,ZA,2021-05-07 04:15:08,-33.9258,18.4232,60.01,94,75,11.5
13,Busselton,AU,2021-05-07 04:15:12,-33.65,115.3333,63.0,86,86,1.99
14,Tura,IN,2021-05-07 04:15:12,25.5198,90.2201,84.52,54,73,2.82
15,Lebu,CL,2021-05-07 04:10:24,-37.6167,-73.65,52.57,84,36,8.14
16,Tual,ID,2021-05-07 04:15:13,-5.6667,132.75,83.97,73,72,17.34
17,Kaitangata,NZ,2021-05-07 04:15:13,-46.2817,169.8464,59.0,76,63,5.01
18,Mar Del Plata,AR,2021-05-07 04:15:14,-38.0023,-57.5575,53.01,87,20,3.44
19,Guerrero Negro,MX,2021-05-07 04:10:23,27.9769,-114.0611,61.92,87,0,14.16
20,Muzaffarabad,PK,2021-05-07 04:15:14,34.37,73.4711,78.24,47,99,2.77
21,Santa Fe,AR,2021-05-07 04:15:14,-31.6333,-60.7,51.01,83,0,3.22
22,Provideniya,RU,2021-05-07 04:15:15,64.3833,-173.3,33.8,64,0,13.42
23,Baykit,RU,2021-05-07 04:15:15,61.67,96.37,43.81,60,89,14.0
24,Saint-Philippe,RE,2021-05-07 04:15:16,-21.3585,55.7679,73.4,78,75,5.75
25,Atuona,PF,2021-05-07 04:15:14,-9.8,-139.0333,80.67,68,38,20.89
26,Vuktyl,RU,2021-05-07 04:15:16,63.8567,57.3094,36.61,65,29,4.59
27,Zeya,RU,2021-05-07 04:15:17,53.75,127.2667,43.45,68,100,3.38
